Datetime,Open,High,Low,Close,Adj Close,Volume
2024-04-15 09:30:00-04:00,175.38,175.98,175.34,175.37,175.37,2883818
2024-04-15 09:31:00-04:00,175.35,175.41,174.63,174.63,174.63,566613
2024-04-15 09:32:00-04:00,174.64,174.67,173.85,173.90,173.90,590298
2024-04-15 09:33:00-04:00,173.92,174.35,173.91,174.15,174.15,499260
2024-04-15 09:34:00-04:00,174.04,174.34,174.03,174.23,174.23,347126
2024-04-15 09:35:00-04:00,174.24,174.82,174.21,174.82,174.82,701701
2024-04-15 09:36:00-04:00,174.83,175.05,174.70,174.84,174.84,464895
2024-04-15 09:37:00-04:00,174.85,174.98,174.54,174.58,174.58,299159
2024-04-15 09:38:00-04:00,174.57,174.69,174.28,174.32,174.32,310125
2024-04-15 09:39:00-04:00,174.33,174.44,174.14,174.16,174.16,333485
2024-04-15 09:40:00-04:00,174.16,174.45,174.05,174.41,174.41,289625
2024-04-15 09:41:00-04:00,174.41,174.52,174.25,174.40,174.40,404396
2024-04-15 09:42:00-04:00,174.41,175.01,174.40,175.00,175.00,283160
2024-04-15 09:43:00-04:00,175.00,175.10,174.89,175.04,175.04,237680
2024-04-15 09:44:00-04:00,175.02,175.15,175.02,175.14,175.14,179006
2024-04-15 09:45:00-04:00,175.14,175.39,175.00,175.01,175.01,277293
2024-04-15 09:46:00-04:00,175.01,175.06,174.83,175.03,175.03,226172
2024-04-15 09:47:00-04:00,175.02,175.05,174.78,174.80,174.80,193461
2024-04-15 09:48:00-04:00,174.79,174.89,174.56,174.61,174.61,241095
2024-04-15 09:49:00-04:00,174.58,174.76,174.58,174.70,174.70,205068
2024-04-15 09:50:00-04:00,174.71,174.74,174.38,174.47,174.47,221504
2024-04-15 09:51:00-04:00,174.46,174.62,174.40,174.54,174.54,161085
2024-04-15 09:52:00-04:00,174.55,174.66,174.49,174.58,174.58,226599
2024-04-15 09:53:00-04:00,174.59,174.65,174.44,174.65,174.65,225179
2024-04-15 09:54:00-04:00,174.66,174.88,174.66,174.85,174.85,131668
2024-04-15 09:55:00-04:00,174.85,174.88,174.72,174.78,174.78,186806
2024-04-15 09:56:00-04:00,174.77,174.80,174.61,174.61,174.61,132732
